hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
374756948226763816,PHILIPPINES,MAKATI,NCR,Hotel,3.0
1017991180261654318,THAILAND,PHUKET,,Hotel,5.0
-1992343786761135842,PHILIPPINES,PALAWAN,PALAWAN,Hotel,3.5
-7947427579283243351,THAILAND,TRANG,TRANG,Hotel,3.0
-7910725448597960028,PHILIPPINES,MANILA,METRO MANILA,,
-8116778623914951871,THAILAND,CHONBURI,,Hotel,4.0
9018323552030157480,PHILIPPINES,MANILA,METRO MANILA,Hotel,3.0
3120584807241434378,THAILAND,CHIANG RAI,,Hotel,3.5
-6089052230383957537,THAILAND,SURAT THANI,SURAT THANI,Hotel,2.0
5044140777155819468,PHILIPPINES,MANILA,,Hotel,3.0
-451548426428259565,THAILAND,BANGKOK,,Hotel,5.0
3916195418317927837,THAILAND,SATTAHIP,CHONBURI,Hotel,3.0
-314560027080729394,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
4464489024163698895,THAILAND,PATTAYA,CHONBURI,,
-7372259567487693265,THAILAND,KO PHA-NGAN,SURAT THANI,Hotel,4.0
4614894906877575987,THAILAND,SONGKHLA,,Hotel,3.0
-6234547437287645953,PHILIPPINES,OLONGAPO,ZAMBALES,Hotel,3.0
7048375515118957498,THAILAND,PHUKET,,Hotel,4.0
1486193426479776335,PHILIPPINES,BAGUIO CITY,,Hotel,3.0
-8578966833405828305,PHILIPPINES,LAS PINAS,MANILA,,
3702430504331527785,THAILAND,HAT YAI,,,
-5891915215096124877,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,3.0
5302831977201364916,PHILIPPINES,SAN JOSE (NUEVA ECIJA),NUEVA ECIJA,Hotel,2.0
-1926939225063427404,THAILAND,UDON THANI,,Hotel,3.0
-1932620554963928055,PHILIPPINES,ZAMBOANGA,,Hotel,2.5
4648497924559668685,PHILIPPINES,DUMAGUETE,,Hotel,3.0
-444645921153024394,THAILAND,CHUMPHON,CHUMPHON,Hotel,3.0
4597455038369172800,THAILAND,TRANG,,Hotel,3.0
-3468386993243145042,THAILAND,PATTAYA,,Hotel,2.5
6619354742049940685,PHILIPPINES,BACOLOD,,Hotel,4.0
6367159631802260604,THAILAND,RAYONG,RAYONG,Hotel,4.0
7920980801102851271,THAILAND,HAT YAI,SONGKHLA,,
-5759458541182740594,THAILAND,BANGKOK,,,
-101559640762365852,THAILAND,HAT YAI,,,
-2435655901614933253,PHILIPPINES,CEBU,,Hotel,2.5
-552043124275795733,PHILIPPINES,ZAMBOANGA,,Hotel,4.0
9103788713090388247,THAILAND,BANGKOK,,Hotel,3.0
7087679766948947352,THAILAND,LAMPANG,,Hotel,2.5
1736462783961331118,THAILAND,SATUN,,Hotel,3.0
6704983898762742093,THAILAND,BANGKOK,,Hotel,4.0
3232598935221811201,THAILAND,BANGKOK,BANGKOK,Hotel,4.5
4067786266667718878,PHILIPPINES,BORACAY ISLAND,AKLAN,,
-3511109263485254328,THAILAND,HAT YAI,SONGKLA,Hotel,3.0
-7426100288223064315,THAILAND,CHIANG MAI,,,
5462659743080207272,PHILIPPINES,QUEZON CITY,MANILA,Hotel,4.0
-2391835368972698102,THAILAND,BURIRAM,BURIRAM,Hotel,2.0
-7804415205923834414,THAILAND,HAT YAI,SONGKHLA,,
765581971253560797,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-92318441512433926,PHILIPPINES,LAPU-LAPU,CEBU,Hotel,3.0
7621948250571316832,THAILAND,KANCHANABURI,KANCHANABURI,Hotel,3.5
2209994366119583088,THAILAND,KRABI-AO NANG,,Hotel,4.0
8047525399898215951,PHILIPPINES,PANGLAO,BOHOL,Hotel,3.0
-6286848381560840100,PHILIPPINES,BORACAY,,Hotel,3.0
-5794859799948244778,THAILAND,CHIANG MAI,,Hotel,3.0
6656354153160960034,THAILAND,NAKHON SI THAMMARAT,NAKHON SI THAMMARAT,,
2140479603841771335,PHILIPPINES,BAGUIO,,Hotel,5.0
-4499306617972792509,PHILIPPINES,MALOLOS,BULACAN,Hotel,3.0
5225105552154558028,PHILIPPINES,MANILA,METRO MANILA,,
3315698474042231119,PHILIPPINES,PALAWAN,,Hotel,3.5
-8869525908420076189,THAILAND,NAKHON RATCHASIMA,NAKHON RATCHASIMA,,
-5018542254934406545,THAILAND,BANGKOK,BANGKOK,,
-5828376524648088942,THAILAND,HAT YAI,SONGKHLA,,
6587715161844498020,THAILAND,CHIANG MAI,,Hotel,4.0
-1755670367448093953,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-8055182255404318814,PHILIPPINES,BORACAY ISLAND,MALAY AKLAN,Hotel,3.0
7697829296572575880,PHILIPPINES,CEBU,,Hotel,3.0
-1329518323678141298,THAILAND,BANGKOK,BANGKOK,,
-3263101768439883738,THAILAND,RAYONG,RAYONG,Hotel,3.0
5123963519593962786,THAILAND,HAT YAI,,Hotel,2.5
-8374521144545428221,THAILAND,PHUKET,,Hotel,4.0
